รหัสทดสอบ,วันที่ทดสอบ,ระบบส่วนงาน,ชื่อการทำงาน,รหัสหน้าจอ - ชื่อหน้าจอ,คำอธิบาย,เงื่อนไขก่อนการทำงาน,ขั้นตอนการทำงาน,ผลที่คาดว่าจะได้รับ,ผลการทดสอบ,บันทึกเพิ่มเติม
A001,3-Apr-24,สมัครเเอคเคาท์,การสมัครเเอคเคาท์,"1. A0011 - ปุ่ม getting start
2. A0012 - หน้า landing page
3. A0013 - หน้า register
4. A0014 - ปุ่ม register 
5. A0015 - หน้าจอกรอก otp",user จะต้องสมัครรหัสก่อน จะใช้งานระบบต่าง ๆ ,None,"1. user เข้าไปหน้าหลัก (A0012)
2. กดปุ่ม getting start(A0011)
3. กรอกข้อมูลส่วนตัวใน หน้า register (A0013)
3. กรอกข้อมูล
_3.1 ใส่รหัส
_3.2 ใส่นามสกุล
_3.3 ใส่เบอร์โทรศัทพ์
_3.4 ใส่อีเมล
_3.5 ใส่รหัสที่มีขั้นต่ำ 8 หลัก, ตัวอักษรใหญ่ 1 ตัว, เลข 1 เลข
_3.6 ใส่รหัสยืนยัน
4. ทุกช่องต้องกรอกข้อมูลเข้าไป ไม่งั้นจะไม่สามารถกด register (A0014) ได้
5. เมื่อกด register ผ่าน เเล้วจะมีช่องให้กรอก otp (A0015) 
6. user เปิดเข้าอีเมลเพื่อดู otp
7. user กรอก otp","1. เมื่อกด getting start จะขึ้นหน้าจอให้กรอกข้อมูลส่วนตัว
2. หากกรอกข้อมูลไม่ครบ จะไม่สามารถกดปุ่ม register (A0014) ได้
3. หากกรอกรหัสไม่ตรงตามที่กำหนดไว้จะมีการเเสดงบอกว่า user ว่ารหัสขาดอะไร
4. หากกรอกรหัสยืนยัน ไม่ตรงกับรหัสที่ใส่ไว้ตอนเเรกจะมีการเเสดงบอกว่ารหัสไม่ตรงกัน
5. หากกรอกเบอร์โทรไม่ครบ 10 หลัก จะเเจ้งบอกว่าเบอร์โทรไม่ครบ เเละปฎิเสธการสมัคร
6. หากเบอร์โทรศัพท์เคยใช้เเล้วจะเเจ้งเตือนผู้ใช้งานว่าเบอร์โทรศัพท์เคยใช้เเล้ว
7. เมื่อกรอกข้อมูลส่วนตัวจนครบ จะเเสดงหน้า กรอก OTP (A0015)
8. หากกรอก otp ไม่ถูกจะเเจ้งเตือนว่า otp ผิด",ผ่าน,
A009,10-Mar-24,การเข้าร่วมห้องเรียน,การเข้าร่วมห้องเรียน,,"เมื่อ user ได้รหัสมาจากอาจารย์จะต้องนำมา
กรอกในช่อง 'เข้าร่วมห้องเรียน'","1. user จะต้อง login ก่อน
2. user จะต้อง register ก่อน","1. user กดเลือกปุ่ม 'เข้าร่วมห้องเรียน'
2. user กรอกรหัสเข้าไปในช่องนั้น","1. หาก user ยังไม่เคยเข้าร่วมห้อง เเละใส่รหัสถูก จะถูก redirect ไปที่หน้า classroom ที่ได้ join
2. หาก user เคยเข้าร่วมเเล้วจะต้องเเสดงว่า ห้องดังกล่าวได้เข้าร่วมเเล้ว
3. หาก user ใช้โค้ดที่ไม่มีอยู่จริง จะมีการเเจ้งเตือน user
4. หาก code ที่อาจารย์ให้หมดอายุ จะมีการเเจ้งเตือน user ด้วย
5. เมื่อ",,
A002,3-Apr-24,การ login user ,การ login,"1. A0021 - หน้า landing page 
2. A0022 - ปุ่ม sign-in",user ใช้ส่วนนี้เพื่อทำการ login account ที่เคยสมัครไว้,ต้อง register ก่อน,"1. user เข้าไปหน้าหลัก (A0021)
2. user กดปุ่ม signin (A0022)
3. user กรอกรหัสผ่าน เเละอีเมล
4. หากรหัสผ่าน หรือ อีเมลผิด หรือไม่มีจะไม่สามารถ กด sign In (A0022) ผ่านได้
5. มีการ redirect กลับไปหน้า landing page","1. เเสดงหน้า landing page
2. เเสดงหน้า login 
3. รหัสผ่าน เเละอีเมลที่ user กรอกไปขึ้นในช่อง input
4. มีการเเจ้งเตือนว่า รหัส หรืออีเมลผิด
5. เมื่อกดล็อกอิน จะ redirect กลับไปที่หน้า landing page.",ผ่าน,"ไปดู conversation ใน login issue, 100 กว่าอัน ไม่ผ่านได้ยังไง"
A003,3-Apr-24,การสร้างห้อง,การสร้างห้องเรียน,1. A0031 - หน้า,user ใช้ส่วนนี้เพื่อทำการสร้างห้องนักศึกษา,"1. user ต้องสมัคร account ก่อน
2. user ต้อง login ก่อน","1. user เข้าไปที่หน้า classroom 
2. กดปุ่ม + 
3. user กดปุ่ม create classroom
3. user กรอกชื่อห้องเรียน คำอธิบาย 
เเละใส่รูปภาพ","1. เเสดงหน้า classroom ห้องที่ user ได้เข้า เเละสร้าง
2. เเสดงหน้าจอให้ user กรอกข้อมูล ห้องเรียน เเละรูปภาพ
3. มีห้องเรียนที่ user สร้างปรากฎขึ้นมา ",ไม่ผ่าน,"1. ไม่สามารถส่งรูป เพื่อสร้างห้องได้
2. ตอนกรอกข้อมูล title เเละ description มันมีการกระพริบเหมือน state อัปเดตเรื่อย ๆ "
A004,24-Mar-24,เเชท,ระบบเเชท,,ผู้ใช้งาน เเละอาจารย์สื่อสาร ผ่านช่องทางนี้,"1. user จะต้อง login ก่อน
2. user ต้องเข้าร่วมห้องเรียน ก่อน
3. user ต้องเข้าร่วมกลุ่มในห้องเรียน กลุ่ม default คือ general","1. user เข้าห้องเรียนที่ตนใส่รหัสเข้าร่วมห้องเรียนจากอาจารย์
2. user เลือกกลุ่มที่ต้องการพูดคุย
3. user กรอกข้อความที่ต้องการสื่อสาร
4. รอข้อความตอบกลับจากเพื่อนๆ ","1. user เห็นหน้าจอช่องเเชทหลังจากกดเข้าห้องเรียนที่ตนได้เข้าร่วม
2. user เห็นข้อความทั้งหมดที่เคยมีในเเชท ทั้งวัน เวลา เเละผู้สร้างข้อความนั้น
3. เมื่อ user กรอกข้อความเเล้วกดส่งขึ้นไป ข้อความจะต้องเเสดงบนหน้าจอห้องเเชททั้นที
4. เมื่อมี user คนอื่นร่วมห้องส่งข้อความมา หน้าจอเเสดงข้อความจะต้อง เเสดงข้อความนั้นทันที โดย user ไม่จำเป็นต้อง refresh",Pass,
A005,3-Apr-24,การสั่งงาน assignment,,,,,,,,
A006,3-Apr-24,การดูบุคคลที่ที่อยู่ในห้อง,รายชื่อนักเรียน เเละนักศึกษา,"1. A0061 -  หน้าจอเเชท
2. A0062 - Navbar tab
3. A0063 -  ปุ่ม people
4. A0064 - หน้าจอเเสดงรายชื่อทุกคนในห้องเรียน",user กดเข้าห้องเรียน เเละดูรายชื่อนักศึกษาทุกคนที่อยู่ในห้องเรียน,"1. user จะต้อง login ก่อน
2. user จะต้องเข้าร่วมห้องเรียนก่อน
3. user จะต้องเข้าร่วมห้องเรียนกอน","1. user เข้าไปในห้องเรียน
2. user กดเข้าไปที่ people 
3. user ดูรายชื่อนักศึกษาเเละอาจารย์","1. user เห็นหน้าจอเเชท (A0061) เเละ tab navbar (A0062) ให้ user สามารถเลือกคนที่อยู่ในห้องนั้นได้
2. เมื่อ user กด people (A0063)จะเเสดงให้เห็นถึง user ทั้งหมด ที่อยู่ในห้องเรียน โดยจะเเสดงเป็นชื่อ ภาษาอังกฤษ เเละ ไอคอน ผ่านหทางหน้าจอ (A0064)",ไม่ผ่าน,"1. เมื่อกด people, user-list ไม่ขึ้น"
A007,3-Apr-24,การตั้งค่า,การเเก้ไขรายละเอียดของห้องเรียน,"1. A0071 - หน้าจอห้องเรียน
2. A0072 - ปุ่ม setting
3. A0073 - ปุ่ม navbar 
4. A0074 - หน้า form เเก้ไขชื่อห้อง เเละ description",user เเก้ไขชื่อห้องเรียน รายละเอียด เเละรูปภาพ,"1. user จะต้อง login ก่อน
2. user จะต้องเป็นอาจารย์","1. user ที่เป็นอาจารย์ กดดูห้องเรียน (A0071)
2. user กดไปที่ setting (A0072 ) บน navbar (A0073)
3. user เเก้ไขชื่อห้อง, description เเละ รูปภาพ (A0074)","1. เเสดงหน้าจอ เเชท เเละ tab navbar ข้างบน
2. เมื่ออาจารย์กด setting จะเเสดงหน้าจอให้กรอกเเก้ไข ชื่อห้อง รายละอียด เเละเลือกไฟล์ใหม่
3. เมื่อ user เเก้ไขชื่อห้อง, description หรือรูปภาพ ข้อมูลต้องอัปเดตเพื่อตามที่ user ได้เปลี่ยน ",ไม่ผ่าน,1. เมื่อทำการกด save เพื่อเเก้ไข ข้อมูลไม่เกิดการเปลี่ยนเเปลง
A008,3-Mar-24,การตั้งค่า,การสร้างรหัสเพื่อเข้าร่วม,"1. A0081 - ปุ่ม setting บน navbar
2. A0082 - ปุ่มสร้าง invite code
3. A0083 - ปุ่มการสร้าง group ใหม่","อาจารย์ ลือกกลุ่มที่นักเรียนควรอยู่ จากนั้นสร้างรหัส เมื่อ user, join ผ่าน code

user จะเข้าร่วมห้องในฐานะสมาชิกของเเต่ละกลุ่มที่อาจารย์ได้เลือกไว้ให้"," 1. user จะต้องสร้าง account
2. user จะต้อง login ก่อน
3. user จะต้องเป็นอาจารย์ ","1. เลือกห้องที่ตนเองสร้าง
2. ไปที่การตั้งค่า (A0081) ของห้อง
3. กดสร้าง invite code (A0082) พร้อมกับเลือกกลุ่มสำหรับให้นักเรียนที่ใช้โค้ดนี้เข้าไปประจำ หากไม่มี group ที่เลือก เเล้วกด enter (A0083)จะเป็นการสร้าง group ใหม่ โดย General กลุ่มจะเป็นกลุ่ม default ที่กดไม่เลือกไม่ได้
4. กดสร้างรหัส","1. ได้รหัส 6 หลักเเสดงอยู่บนหน้า UI
เพื่อเป็นการบอกการสร้างรหัสผ่านสำเร็จ เเละ มีการเเจ้งเตือนว่า code ถูก copy ใน clipboard
2. หากการสร้างล้มเหลวจะต้องมีการเเจ้งเตือนให้ทราบ
3. เมื่อตอนสร้าง invite code เเล้วพิมพ์หากลุ่มที่ไม่มี จะมีตัวเลือกให้สร้างกลุ่มใหม่
4. เมื่อกดสร้างกลุ่มใหม่ ใน database จะมีต้องเพิ่มกลุ่มใหม่เข้าไป
5. เมื่อกดสร้างรหัส ใน database จะต้องเก็บข้อมูลของกลุ่มที่เลือก เเละ code ที่จะเกี่ยวข้อง",,
A009,3-Apr-24,การตั้งค่า,สร้างกลุ่ม,"1. A0091 - หน้าจอ การตั้งค่า
2. A0092 - ปุ่ม create new group
3. A0093 - หน้าจอภายใน chat room
4. A0094 - หน้าจอการตั้งค่า",อาจารย์สร้างกลุ่มห้องเรียน ไว้สำหรับเเบ่งนักศึกษา,"1. user จะต้องสร้าง account
2. user จะต้อง login
3. user จะต้องเป็นอาจารย์","1. เลือกห้องเรียนที่ตนสร้าง เเละกดเข้าไป
2. เข้าไปที่การตั้งค่า (A0091)
3. กดปุ่ม create new group (A0092)
4. กรอกชื่อของกลุ่ม เเละเลือกนักศึกษา
5. กดสร้างกลุ่ม","1. เเสดงภายในห้องที่มี chat room ที่มี stream, assignment, grader people เเละ setting
(A0093)
2. เเสดงหน้าการตั้งค่า (A0094)
3. มีเเบบฟอร์มให้ใส่ชื่อของกลุ่ม
4. มีตัวเลือกว่าจะให้นักศึกษาคนไหน อยู่ในกลุ่มนี้บ้าง",,
